"Link Text","URL"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=026300822"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=026300822"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=026300822"
"",""
"",""
"American Funds Short-Term Tax-Exempt Bond Fund®",""
"QAR",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630W608"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630W608"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630W608"
"",""
"",""
"American Funds Tax-Exempt Fund of New York®",""
"QAR",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630X507"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630X507"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630X507"
"",""
"",""
"American High-Income Municipal Bond Fund®",""
"QAR",""
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=026545608"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=026545608"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=026545608"
"",""
"",""
"Limited Term Tax-Exempt Bond Fund of America®",""
"QAR",""
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=532726601"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=532726601"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=532726601"
"",""
"",""
"The Tax-Exempt Bond Fund of America®",""
"QAR",""
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=876902602"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=876902602"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=876902602"
"",""
"",""
"The Tax-Exempt Fund of California®",""
"QAR",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630B604"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630B604"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630B604"
"",""
"",""
"American Funds® U.S. Government Money Market Fund",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630U503"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630U503"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630U503"
"",""
"",""
"American Funds® Conservative Growth and Income Portfolio",""
"FC",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630Y398"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630Y398"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630Y398"
"",""
"",""
"American Funds® Global Growth Portfolio",""
"FC",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630R567"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630R567"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630R567"
"",""
"",""
"American Funds® Growth Portfolio",""
"FC",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630R740"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630R740"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630R740"
"",""
"",""
"American Funds® Growth and Income Portfolio",""
"FC",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630R609"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630R609"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630R609"
"",""
"",""
"American Funds® Moderate Growth and Income Portfolio",""
"FC",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630Y224"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630Y224"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630Y224"
"",""
"",""
"American Funds® Preservation Portfolio",""
"FC",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630Y752"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630Y752"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630Y752"
"",""
"",""
"American Funds® Tax-Aware Conservative Growth and Income Portfolio",""
"FC",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630Y570"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630Y570"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630Y570"
"",""
"",""
"American Funds® Tax-Exempt Preservation Portfolio",""
"FC",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630Y505"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630Y505"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630Y505"
"",""
"",""
"American Funds® Retirement Income Portfolio — Conservative",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02631L502"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02631L502"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02631L502"
"",""
"",""
"American Funds® Retirement Income Portfolio — Enhanced",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02631L668"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02631L668"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02631L668"
"",""
"",""
"American Funds® Retirement Income Portfolio — Moderate",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02631L791"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02631L791"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02631L791"
"",""
"",""
"American Funds 2010 Target Date Retirement Fund®",""
"QAR",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02631C403"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02631C403"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02631C403"
"",""
"",""
"American Funds 2015 Target Date Retirement Fund®",""
"QAR",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02631C809"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02631C809"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02631C809"
"",""
"",""
"American Funds 2020 Target Date Retirement Fund®",""
"QAR",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02631C858"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02631C858"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02631C858"
"",""
"",""
"American Funds 2025 Target Date Retirement Fund®",""
"QAR",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02631C817"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02631C817"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02631C817"
"",""
"",""
"American Funds 2030 Target Date Retirement Fund®",""
"QAR",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02631C767"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02631C767"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02631C767"
"",""
"",""
